Artist,Song Title,Song ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Bini,Pantropiko,6Csrqur3IfnVp0EtHskjMw,,,,,,,,,,,,,,,,,,
Bini,"Salamin, Salamin",1iIJtD9hkzw4ZHfR7ND9yb,0.819,0.614,5.0,-7.074,1.0,0.0363,0.0971,0.0,0.247,0.704,122.001,audio_features,1iIJtD9hkzw4ZHfR7ND9yb,spotify:track:1iIJtD9hkzw4ZHfR7ND9yb,https://api.spotify.com/v1/tracks/1iIJtD9hkzw4ZHfR7ND9yb,https://api.spotify.com/v1/audio-analysis/1iIJtD9hkzw4ZHfR7ND9yb,230219.0,4.0
Bini,Karera,6xfsvHFXr8GgRzaFAkmjAY,,,,,,,,,,,,,,,,,,
Bini,Lagi,5YV9UyeC3dMV4kuRiTMGJs,,,,,,,,,,,,,,,,,,
Bini,Na Na Na,4aqkICleG6HLRc2ygpWqN1,0.692,0.874,1.0,-4.632,1.0,0.0568,0.225,0.0,0.0636,0.874,129.983,audio_features,4aqkICleG6HLRc2ygpWqN1,spotify:track:4aqkICleG6HLRc2ygpWqN1,https://api.spotify.com/v1/tracks/4aqkICleG6HLRc2ygpWqN1,https://api.spotify.com/v1/audio-analysis/4aqkICleG6HLRc2ygpWqN1,251077.0,4.0
Bini,Huwag Muna Tayong Umuwi,7haQq014RoahMX6spW4z1z,,,,,,,,,,,,,,,,,,
Bini,Na Na Nandito Lang,3iiFRTfSUP34KVekvWoV3F,0.826,0.707,10.0,-6.644,1.0,0.0409,0.516,9.61e-05,0.119,0.789,113.991,audio_features,3iiFRTfSUP34KVekvWoV3F,spotify:track:3iiFRTfSUP34KVekvWoV3F,https://api.spotify.com/v1/tracks/3iiFRTfSUP34KVekvWoV3F,https://api.spotify.com/v1/audio-analysis/3iiFRTfSUP34KVekvWoV3F,242069.0,4.0
Bini,I Feel Good,4ugPBlOXJtKOkOxQRQpUVE,,,,,,,,,,,,,,,,,,
Bini,Ang Huling Cha Cha,7Dx27QY6OJmWv4ZSCW9OpF,0.764,0.699,7.0,-8.265,1.0,0.0632,0.229,0.0,0.0887,0.749,150.034,audio_features,7Dx27QY6OJmWv4ZSCW9OpF,spotify:track:7Dx27QY6OJmWv4ZSCW9OpF,https://api.spotify.com/v1/tracks/7Dx27QY6OJmWv4ZSCW9OpF,https://api.spotify.com/v1/audio-analysis/7Dx27QY6OJmWv4ZSCW9OpF,201384.0,4.0
Bini,Diyan Ka Lang,7j3FzXqlvcSpe58Ska2tes,0.752,0.609,5.0,-7.142,0.0,0.0333,0.253,2.03e-06,0.0794,0.835,107.98,audio_features,7j3FzXqlvcSpe58Ska2tes,spotify:track:7j3FzXqlvcSpe58Ska2tes,https://api.spotify.com/v1/tracks/7j3FzXqlvcSpe58Ska2tes,https://api.spotify.com/v1/audio-analysis/7j3FzXqlvcSpe58Ska2tes,197488.0,4.0
Bini,Golden Arrow,4XQV9Qs6N1sjfOq83IhILo,0.797,0.845,1.0,-3.15,1.0,0.239,0.194,0.0,0.183,0.951,99.966,audio_features,4XQV9Qs6N1sjfOq83IhILo,spotify:track:4XQV9Qs6N1sjfOq83IhILo,https://api.spotify.com/v1/tracks/4XQV9Qs6N1sjfOq83IhILo,https://api.spotify.com/v1/audio-analysis/4XQV9Qs6N1sjfOq83IhILo,227949.0,4.0
Bini,Pantropiko,03vwhCqyxupZDVEncdnCSc,0.78,0.803,11.0,-3.03,1.0,0.0438,0.25,0.0,0.259,0.801,94.989,audio_features,03vwhCqyxupZDVEncdnCSc,spotify:track:03vwhCqyxupZDVEncdnCSc,https://api.spotify.com/v1/tracks/03vwhCqyxupZDVEncdnCSc,https://api.spotify.com/v1/audio-analysis/03vwhCqyxupZDVEncdnCSc,225466.0,4.0
Bini,Born To Win,5ZzJXBVQCTolSrzUdPJduW,,,,,,,,,,,,,,,,,,
