Song Title,Artist,Features,Values
Pantropiko,Bini,acousticness,
"Salamin, Salamin",Bini,acousticness,0.0971
Karera,Bini,acousticness,
Lagi,Bini,acousticness,
Na Na Na,Bini,acousticness,0.225
Huwag Muna Tayong Umuwi,Bini,acousticness,
Na Na Nandito Lang,Bini,acousticness,0.516
I Feel Good,Bini,acousticness,
Ang Huling Cha Cha,Bini,acousticness,0.229
Diyan Ka Lang,Bini,acousticness,0.253
Golden Arrow,Bini,acousticness,0.194
Pantropiko,Bini,acousticness,0.25
Born To Win,Bini,acousticness,
Strings,Bini,acousticness,0.152
Kinikilig,Bini,acousticness,0.671
Pit a Pat,Bini,acousticness,0.103
Karera,Bini,acousticness,0.262
Da Coconut Nut,Bini,acousticness,0.051
No Fear,Bini,acousticness,0.265
Kabataang Pinoy,Bini,acousticness,0.0795
8,Bini,acousticness,0.0664
Here With You,Bini,acousticness,
Love Yourself,Bini,acousticness,0.0808
Gandang Vitakeratin,Bini,acousticness,0.141
Lagi - Acoustic,Bini,acousticness,0.115
Made for All,Bini,acousticness,0.373
"Bata, Kaya Mo!",Bini,acousticness,0.0164
Super Crush,Bini,acousticness,0.0936
Kapit Lang,Bini,acousticness,
Strings - Dance Version,Bini,acousticness,0.0314
B HU U R,Bini,acousticness,0.0993
"Read All About It, Pt. III",Bini,acousticness,0.309
Hunger - Live,Bini,acousticness,0.281
Come Up Here - Live,Bini,acousticness,0.0104
Lagi,Bini,acousticness,
I Feel Good,Bini,acousticness,0.0653
Here Comes the Glory - Live,Bini,acousticness,0.0223
I See Jesus - Live,Bini,acousticness,0.113
Born To Win - Bahasa Version,Bini,acousticness,0.0685
Born To Win - Japanese Version,Bini,acousticness,0.126
Living Proof - Live,Bini,acousticness,
Born To Win - Spanish Version,Bini,acousticness,0.0645
Up!,Bini,acousticness,0.067
Born To Win - Thai Version,Bini,acousticness,0.0963
Born To Win,Bini,acousticness,0.173
Kapit Lang,Bini,acousticness,0.00427
The Revelation of Jesus - Live,Bini,acousticness,0.0023
"Read All About It, Pt. III - Extended",Bini,acousticness,0.114
All Things - Live,Bini,acousticness,0.0368
Born to Win - Acapella,Bini,acousticness,0.887
Born to Win,Bini,acousticness,0.173
Doxology (Hallelujah) - Live,Bini,acousticness,0.00483
Peace Of Mind,Bini,acousticness,0.0432
Kaze Wo Atsumete,Bini,acousticness,0.961
I Was In The Spirit On The Lord's Day - Live,Bini,acousticness,0.0158
Born to Win - EDM Version,Bini,acousticness,0.000129
The Letters - Live,Bini,acousticness,0.0531
Patmos - Live,Bini,acousticness,0.512
I Can't Stay Here - Live,Bini,acousticness,0.0332
Born To Win - String Quartet Version,Bini,acousticness,0.935
Born To Win - Latin Version,Bini,acousticness,0.024
Born To Win - Instrumental,Bini,acousticness,0.00273
