item_type,purchase_datetime,active,price_in_virtual_currency,wager_day,payment_processor,product,code_id,expected_expiration
Streak repair,2024-04-30 08:59:54,true,,,,In-app Purchase,,
Store Item,2024-04-30 01:37:36,false,,,,In-app Purchase,,2024-04-30 01:52:36
Store Item,2024-04-30 01:37:36,false,,,,In-app Purchase,,2024-04-30 01:59:03
Store Item,2024-04-30 01:28:30,false,,,,In-app Purchase,,2024-04-30 01:44:03
Store Item,2024-04-30 01:14:03,false,,,,In-app Purchase,,2024-04-30 01:29:03
Store Item,2024-04-30 01:14:03,false,,,,In-app Purchase,,2024-04-30 01:29:03
Store Item,2024-04-29 01:55:31,false,,,,In-app Purchase,,2024-04-29 02:19:07
Store Item,2024-04-29 01:46:59,false,,,,In-app Purchase,,2024-04-29 02:04:07
Store Item,2024-04-29 01:31:05,false,,,,In-app Purchase,,2024-04-29 01:49:07
Store Item,2024-04-29 01:31:04,false,100,,,In-app Purchase,,2024-04-29 02:19:07
Store Item,2024-04-29 01:19:07,false,,,,In-app Purchase,,2024-04-29 01:34:07
Store Item,2024-04-29 12:48:57,false,,,,In-app Purchase,,2024-04-29 01:03:57
Streak freeze,2024-04-28 04:52:16,true,,,,In-app Purchase,,
Store Item,2024-04-28 04:52:16,true,,,,In-app Purchase,,
Store Item,2024-04-28 12:17:31,false,,,,In-app Purchase,,2024-04-28 12:32:31
Store Item,2024-04-28 12:37:35,false,,,,In-app Purchase,,2024-04-28 01:04:09
Store Item,2024-04-28 12:27:46,false,,,,In-app Purchase,,2024-04-28 12:49:09
Store Item,2024-04-28 12:19:09,false,,,,In-app Purchase,,2024-04-28 12:34:09
Store Item,2024-04-27 03:11:30,false,,,,In-app Purchase,,2024-04-27 03:36:57
Store Item,2024-04-27 03:06:57,false,,,,In-app Purchase,,2024-04-27 03:21:57
Store Item,2024-04-27 02:23:36,false,,,,In-app Purchase,,2024-04-27 02:38:36
Store Item,2024-04-26 11:32:03,false,,,,In-app Purchase,,2024-04-26 12:00:41
Store Item,2024-04-26 11:27:25,false,,,,In-app Purchase,,2024-04-26 11:45:41
Store Item,2024-04-26 11:15:41,false,,,,In-app Purchase,,2024-04-26 11:30:41
Store Item,2024-04-26 01:32:58,false,,,,In-app Purchase,,2024-04-26 01:47:58
Store Item,2024-04-26 01:17:06,false,,,,In-app Purchase,,2024-04-26 01:32:08
Store Item,2024-04-26 01:02:08,false,,,,In-app Purchase,,2024-04-26 01:17:08
Store Item,2024-04-25 12:25:48,false,,,,In-app Purchase,,2024-04-25 12:40:48
Store Item,2024-04-25 01:34:59,false,,,,In-app Purchase,,2024-04-25 02:08:10
Store Item,2024-04-25 01:23:50,false,,,,In-app Purchase,,2024-04-25 01:53:10
Store Item,2024-04-25 01:19:37,false,,,,In-app Purchase,,2024-04-25 01:38:10
Store Item,2024-04-25 01:10:16,false,,,,In-app Purchase,,
Store Item,2024-04-25 01:08:10,false,,,,In-app Purchase,,2024-04-25 01:23:10
Store Item,2024-04-24 12:48:24,false,,,,In-app Purchase,,2024-04-24 01:03:24
Store Item,2024-04-23 10:46:54,false,,,,In-app Purchase,,2024-04-23 11:13:51
Store Item,2024-04-23 10:36:20,false,,,,In-app Purchase,,2024-04-23 10:58:51
Store Item,2024-04-23 10:28:51,false,,,,In-app Purchase,,2024-04-23 10:43:51
Store Item,2024-04-23 12:18:49,false,,,,In-app Purchase,,2024-04-23 12:33:49
Store Item,2024-04-22 11:12:46,false,,,,In-app Purchase,,2024-04-22 11:27:46
Store Item,2024-04-21 05:54:31,false,,,,In-app Purchase,,2024-04-21 06:09:31
Store Item,2024-04-21 10:24:53,false,,,,In-app Purchase,,2024-04-21 11:01:29
Store Item,2024-04-21 10:20:59,false,,,,In-app Purchase,,2024-04-21 10:46:29
Store Item,2024-04-21 10:13:31,false,,,,In-app Purchase,,2024-04-21 10:31:29
Store Item,2024-04-21 10:01:29,false,,,,In-app Purchase,,2024-04-21 10:16:29
Store Item,2024-04-21 12:24:06,false,,,,In-app Purchase,,2024-04-21 12:54:06
Store Item,2024-04-19 11:18:43,false,,,,In-app Purchase,,2024-04-19 11:58:35
Store Item,2024-04-19 11:05:41,false,,,,In-app Purchase,,2024-04-19 11:43:35
Store Item,2024-04-19 10:57:12,false,,,,In-app Purchase,,2024-04-19 11:28:35
Store Item,2024-04-19 10:54:10,false,,,,In-app Purchase,,2024-04-19 11:13:35
Store Item,2024-04-19 10:43:35,false,,,,In-app Purchase,,2024-04-19 10:58:35
Store Item,2024-04-19 11:16:11,false,,,,In-app Purchase,,2024-04-19 11:32:58
Store Item,2024-04-19 11:02:58,false,,,,In-app Purchase,,2024-04-19 11:17:58
Store Item,2024-04-19 12:04:55,false,,,,In-app Purchase,,2024-04-19 12:33:27
Store Item,2024-04-18 11:52:14,false,,,,In-app Purchase,,2024-04-19 12:18:27
Store Item,2024-04-18 11:44:39,false,,,,In-app Purchase,,2024-04-19 12:03:27
Store Item,2024-04-18 11:33:27,false,,,,In-app Purchase,,2024-04-18 11:48:27
Store Item,2024-04-18 11:30:33,false,,,,In-app Purchase,,2024-04-18 11:45:33
Store Item,2024-04-17 10:53:27,false,,,,In-app Purchase,,2024-04-17 11:18:22
Store Item,2024-04-17 10:33:26,false,,,,In-app Purchase,,2024-04-17 11:03:22
Store Item,2024-04-17 10:33:22,false,,,,In-app Purchase,,2024-04-17 10:48:22
Store Item,2024-04-17 02:19:48,false,20,,,In-app Purchase,,2024-04-21 05:00:00
Store Item,2024-04-16 10:49:11,false,,,,In-app Purchase,,2024-04-16 11:28:34
Store Item,2024-04-16 10:39:37,false,,,,In-app Purchase,,2024-04-16 11:13:34
Store Item,2024-04-16 10:35:12,false,,,,In-app Purchase,,2024-04-16 10:58:34
Store Item,2024-04-16 10:28:34,false,,,,In-app Purchase,,2024-04-16 10:43:34
Store Item,2024-04-16 02:12:29,false,,,,In-app Purchase,,2024-04-16 02:27:29
Store Item,2024-04-16 12:17:20,false,,,,In-app Purchase,,2024-04-16 12:50:08
Store Item,2024-04-16 12:15:39,false,,,,In-app Purchase,,2024-04-16 12:35:08
Store Item,2024-04-16 12:05:08,false,,,,In-app Purchase,,2024-04-16 12:20:08
Store Item,2024-04-15 02:07:03,false,,,,In-app Purchase,,2024-04-15 02:40:55
Store Item,2024-04-15 02:02:35,false,,,,In-app Purchase,,2024-04-15 02:25:55
