leaderboard,timestamp,tier,score
leagues,2019-06-07T13:08:59Z,0,316.0
leagues,2019-06-12T06:16:05Z,1,160.0
leagues,2019-06-17T13:41:28Z,2,845.0
leagues,2019-06-24T23:06:23Z,3,162.0
leagues,2019-07-05T22:27:20Z,3,276.0
leagues,2019-07-08T00:04:29Z,4,306.0
leagues,2019-07-15T02:11:34Z,3,342.0
leagues,2019-08-17T11:58:25Z,3,102.0
leagues,2019-08-20T15:55:41Z,3,153.0
leagues,2019-08-28T00:57:27Z,3,112.0
leagues,2019-09-02T23:58:14Z,3,147.0
leagues,2019-09-10T13:28:34Z,3,72.0
leagues,2019-09-18T00:33:43Z,3,42.0
leagues,2019-11-01T04:00:37Z,3,57.0
leagues,2020-01-03T23:52:47Z,3,58.0
leagues,2020-02-25T15:44:00Z,3,143.0
leagues,2020-03-02T14:04:31Z,3,57.0
leagues,2020-03-24T22:22:48Z,3,45.0
leagues,2020-03-31T07:13:19Z,3,311.0
leagues,2020-04-06T12:02:47Z,3,810.0
leagues,2020-04-13T13:51:56Z,4,1034.0
leagues,2020-04-20T03:24:42Z,5,1632.0
leagues,2020-04-27T09:20:23Z,6,1554.0
leagues,2020-05-04T20:26:46Z,7,1470.0
leagues,2020-05-11T14:38:49Z,8,432.0
leagues,2020-05-19T12:41:52Z,8,685.0
leagues,2020-05-25T02:46:04Z,9,541.0
leagues,2020-06-01T00:31:10Z,8,365.0
leagues,2020-06-09T01:28:13Z,8,846.0
leagues,2020-06-15T09:06:24Z,9,372.0
leagues,2020-06-23T15:31:54Z,8,115.0
leagues,2020-06-29T15:24:40Z,8,457.0
leagues,2020-07-06T12:45:29Z,8,1620.0
leagues,2020-07-13T01:16:02Z,9,1653.0
leagues,2020-07-20T03:58:04Z,9,462.0
leagues,2020-07-28T01:11:32Z,8,232.0
leagues,2020-08-03T11:09:31Z,8,462.0
leagues,2020-08-11T14:51:03Z,8,237.0
leagues,2020-08-18T00:35:12Z,8,331.0
leagues,2020-08-24T10:56:13Z,8,1383.0
